azimuth,elevation,response
2,-48,-5.026351015185943
2,-47,-4.752574699868195
2,-46,-4.283465908424246
2,-45,-3.71483548880513
2,-44,-3.108854917730513
2,-43,-2.4976811071318927
2,-42,-1.9134709689407667
2,-41,-1.3801156889597015
2,-40,-0.916865533305528
2,-39,-0.5309632891391979
2,-38,-0.21714380020328453
2,-37,0.02472189073312763
2,-36,0.20954406770630662
2,-35,0.3496066369177815
2,-34,0.4529057466970941
2,-33,0.5236365003267497
2,-32,0.5659940010892535
2,-31,0.5832925841697757
2,-30,0.5784525294811003
2,-29,0.5492272110018651
2,-28,0.5685828568057785
2,-27,0.649924676618119
2,-26,0.7375626800774637
2,-25,0.872410511351203
2,-24,1.0843035022752703
2,-23,1.3941519613831765
2,-22,1.8228661972084337
2,-21,2.3953512291563537
2,-20,3.1426600765330934
2,-19,4.18665953945665
2,-18,5.381783985903798
2,-17,6.592558747389436
2,-16,7.880693196433408
2,-15,9.146777954903978
2,-14,10.31671953881277
2,-13,11.338515632866535
2,-12,12.160163921772028
2,-11,12.73240490624162
2,-10,13.005497177545095
2,-9,12.906263687714075
2,-8,12.461153856095406
2,-7,11.771572275589593
2,-6,10.916907549451775
2,-5,9.960850214729554
2,-4,8.967090808470541
2,-3,8.02152934214193
2,-2,7.23859322506835
2,-1,6.734825976924751
2,0,6.364328749252408
2,1,5.9240029301916755
2,2,5.623568236863221
2,3,5.684034886978173
2,4,5.9751180829948645
2,5,6.372014693808356
2,6,6.788046694806609
2,7,7.167764614226016
2,8,7.455718980302966
2,9,7.586309552255508
2,10,7.476888766638876
2,11,7.1163447627131236
2,12,6.628458358009062
2,13,6.062292323777683
2,14,5.3843021614036175
2,15,4.572093321344417
2,16,3.6159364042413764
2,17,2.5199887003968557
2,18,1.288407500113216
2,19,-0.053433979782160225
2,20,-1.4577250564595445
2,21,-3.0313297474112786
2,22,-4.65580193313865
2,23,-6.263374707621448
2,24,-7.949881760914801
2,25,-9.624215371509665
2,26,-11.21840761569166
2,27,-12.676539398197791
2,28,-13.942691623765072
2,29,-14.90644820952242
2,30,-15.391805115647436
2,31,-15.28741496639284
2,32,-14.681921487340855
2,33,-13.723582342168585
2,34,-12.524178582857106
2,35,-11.174680913166588
2,36,-9.766060036857208
2,37,-8.462473890319227
2,38,-7.516933906048129
2,39,-6.8022624088745145
2,40,-6.311715507516837
2,41,-6.28774995169843
2,42,-6.594485294364027
2,43,-7.133544339744265
2,44,-7.826682589146399
2,45,-8.608760798075425
2,46,-9.41463972203634
2,47,-10.150120713458637
2,48,-10.684918278817449
2,49,-11.055468154922902
2,50,-11.429786296005577
2,51,-11.923488984145221
2,52,-12.386176834318812
2,53,-12.596425258324729
2,54,-12.579217258131603
2,55,-12.394892236633854
2,56,-12.079484087836553
2,57,-11.646929948843225
2,58,-11.111166956757385
2,59,-10.47728800370758
2,60,-9.743750488835191
2,61,-8.89990575669007
2,62,-8.13155034635626
2,63,-7.450018000808541
2,64,-6.698313324024127
2,65,-5.937639838131437
2,66,-5.209911436050994
2,67,-4.543669600965911
2,68,-3.9674558160592905
2,69,-3.531942471599944
2,70,-3.3158500844128813
2,71,-3.421556417098977
2,72,-3.8442039628499884
2,73,-4.492998256227328
2,74,-5.298703780154941
2,75,-6.203419726080387
2,76,-7.149245285451224
2,77,-8.028268919205107
2,78,-8.67234411793087
2,79,-9.033935849108627
2,80,-9.325373320664461
2,81,-9.702657825196468
2,82,-9.916403870304105
2,83,-9.807526377153188
2,84,-9.526929905993246
2,85,-9.114388472047072
2,86,-8.598390840978018
2,87,-7.999628254027151
2,88,-7.33879195243554
2,89,-6.649702003844819
2,90,-5.982795027434346
3,-90,-3.417579219229455
3,-89,-3.512146079608401
3,-88,-3.6877586308931365
3,-87,-3.9044834278274276
3,-86,-4.12386726395839
3,-85,-4.343986652750215
3,-84,-4.600827953939745
3,-83,-4.9321337913382886
3,-82,-5.379545737168697
3,-81,-5.861372913542929
3,-80,-6.029928910047543
3,-79,-5.85607097786025
3,-78,-5.47638500304115
3,-77,-5.222225779290108
3,-76,-5.1161142732753415
3,-75,-5.0440458297135535
3,-74,-4.972682394265205
3,-73,-4.870825760514226
3,-72,-4.722228557177947
3,-71,-4.50655776638129
3,-70,-4.201812921827496
